MACR-Nr,Air Force,Flgzg.Typ,Flgzg. Kennnr.,Flugzeugname,Bomber Group,Squadron,Crew,Datum,Absturzursache,Uhrzeit Absturz,Angriffsziel,Letzte Sichtung-Koord,Letzte Sichtung-Ort,Absturzort,Absturzort Anmerkungen im Detail,Absturz Land,Bundesland,Vermisstenfall,Aussage Absturz/Schicksal
2586,15th USAAF,B-24J,42-73090,,376,515,Grice,23.02.1944,Jäger,,Steyr,"47°20'N, 14°18'E",südlich Liezen,St. Leonhard am Wald,St. Leonhard am Wald,Österreich,Niederösterreich,,Maschine wurde kurz nach dem Bombenabwurf von Jägern und Flak getroffen. Die Maschine geriet völlig außer Kontrolle und trudelte zu Boden.
2583,15th USAAF,B-24H,42-52200,,376,515,Belyea,23.02.1944,Flak,,Steyr,"47°20'N, 14°18'E",Raum Judenburg,Wels,Wels,Österreich,Oberösterreich,,"Von Flak getroffen. Kam bei Wels zum Absturz, wobei ein Haus zerstört wurde. An Bord der Maschine, die samt Haus am Boden verbrannte, befanden sich noch zwei Crewmitglieder. Nach Angaben der Deutschen wurde die leiche von Carter aus der Maschine geborgen "
2587,15th USAAF,B-24,42-52206,,376,513,Gibbons,23.02.1944,Jäger,,Steyr,"48°10'N, 14°02'E",Wels,Marchtrenk,Marchtrenk,Österreich,Oberösterreich,,"Von Jägern angegriffen, explodierte in der Luft"
2685,15th USAAF,B-24H,42-7745,,449,718,Wingfield,23.02.1944,Jäger,,Steyr,"48°04'N, 14°24'E",Steyr,Schwanenstadt,Schwanenstadt,Österreich,Oberösterreich,,Über Steyr von Jägern abgeschossen.
2720,15th USAAF,B-24J,42-100265,,376,514,Hay,23.02.1944,Jäger,,Steyr,"48°03'N, 14°25'E",Steyr,Marchtrenk,Marchtrenk,Österreich,Oberösterreich,,"Von mehreren deutschen Flugzeugen in einer kombinierten Attacke über Steyr angegriffen und abgeschossen.
Alle Crewmitglieder kamen aus der Maschine. Nur von Arthur Melius fehlte danach jede Spur."
3205,15th USAAF,B-24H,42-64446,,450,721,Waste,23.02.1944,Jäger,,Steyr,"47°55'N, 14°25'E",Steyr südlich,Heindlmühle,Heindlmühle,Österreich,Oberösterreich,,"Durch Jäger getroffen und in Brand geschossen (5 bis 6 Abstürze bei diesem Angriff). Flugzeug geriet sofort in eine Drudelbewegung. Zudem dürfte eine Ausstiegsluke geklemmt haben, wodurch 5 Crewmitglieder nicht mehr aus dem Bomber kamen."
3206,15th USAAF,B-24H,41-29226,Leaky Tub,450,723,Scanlon,23.02.1944,Jäger,,Steyr,"48°02'N, 14°24'E",Steyr,Lambach,Lambach,Österreich,Oberösterreich,,Von Jagdfliegern abgeschossen.
3366,15th USAAF,B-24H,41-29213,,450,723,Samsa,23.02.1944,Flak,,Steyr,"48°10'N, 14°02'E",Wels,Gmunden,Grünau,Österreich,Oberösterreich,,Wurde direkt über dem Ziel getroffen und trieb ab.
9093,15th USAAF,B-24H,42-52338,,450,721,Haggerton,23.02.1944,Jäger,,Steyr,"48°08'N, 14°00'E",Wels,Steyr,Steyr,Österreich,Oberösterreich,,"Die Maschine wurde über dem Ziel von deutschen Jägern angegriffen. Sie zog sofort eine Rauchfahne hinter sich her und ging in Flammen auf. Ein Teil der Besatzung konnte sich aus dem Flugzeug retten, wurde aber in der Luft von deutschen Jägern beschossen. "
3204,15th USAAF,B-24H,42-64455,,450,721,Stanley,23.02.1944,Jäger,,Steyr,"48°08'N, 14°00'E",Wels,Kematen,Kematen-Pichl am Inn,Österreich,Oberösterreich,,Die Maschine wurde von Jägern attackiert und ging mit einem brennenden 2. Triebwerk auf Tiefe.
3208,15th USAAF,B-24H,41-29228,,450,723,Miller,23.02.1944,Jäger,12:10,Steyr,"48°05'N, 13°50'E",Lambach,Wels,Holzhausen,Österreich,Oberösterreich,,Die Maschine wurde von Jägern attackiert und ging sofort auf Tiefe. Ein Triebwerk an der linken Tragfläche begann zu brennen.
3956,15th USAAF,B-24H,41-29255,,450,721,Cannon,23.02.1944,Jäger,,Steyr,"48°10'N, 14°02'E",Wels,Wels,Wels,Österreich,Oberösterreich,,Das Flugzeug wurde von Jägern angeschossen und das 2. Triebwerk begann zu brennen. Die Maschine stürzte sofort ab. Ein Teil der Besatzung konnte sich retten.
2581,15th USAAF,B-24J,42-109843,,376,512,Watson,23.02.1944,Jäger,,Steyr,"47°10'N, 15°25'E",nördl. Graz,Semriach,Semriach,Österreich,Steiermark,,Maschine verlor über dem Ziel an Höhe. Beim Rückflug sackte sie aus der Formation ab und wurde von deutschen Jägern attackiert und abgeschossen.
2703,15th USAAF,P-38,42-12815,,82nd Fighter,95th Fighter,Gearhart,24.02.1944,Jäger,,Steyr,"47°43'N, 14°20'E",Windischgarsten,Windischgarsten,Windischgarsten,Österreich,Oberösterreich,,Wurde von FW190 abgeschossen - schaffte Notausstieg.
2708,15th USAAF,B-17G,42-31390,,2,96,Mayfield,24.02.1944,Flak,,Steyr,"47°29'N, 14°28'E",Trieben,Wels,Wels,Österreich,Oberösterreich,,"Flugzeug von Flak getroffen, geriet in Brand (Triebwerke), ging sofort in den Sturzflug über und explodierte in der Luft. Vermutlich alle Besatzungsmitglieder konnten per Fallschirm abspringen. 3 wurden jedoch vermutlich noch in der Luft erschossen. Der R"
2589,15th USAAF,B-17G,42-31870,-,2,49,Moyer,24.02.1944,Jäger,13:15,Steyr,"47°29'N, 14°28'E",Trieben,Attersee,Attersee,Österreich,Oberösterreich,,Der Verband wurde von ungewöhnlich aggressiven deutschen Jägern  sehr schwer getroffen. Eine ganze Squadron wurde dabei abgeschossen. Dieses Flugzeug war eines davon.
2614,15th USAAF,B-17F,41-24618,Lit Jo,2,49,Durney,24.02.1944,Jäger,13:15,Steyr,"47°29'N, 14°28'E",Trieben,Attersee,Attersee,Österreich,Oberösterreich,,Der Verband wurde von ungewöhnlich aggressiven deutschen Jägern  sehr schwer getroffen. Eine ganze Squadron wurde dabei abgeschossen. Dieses Flugzeug war eines davon.
2619,15th USAAF,B-17F,41-24571,-,2,49,Meyer,24.02.1944,Jäger,13:15,Steyr,"47°29'N, 14°28'E",Trieben,Frankenmarkt,Pöndorf,Österreich,Oberösterreich,,"Der Verband wurde von ungewöhnlich aggressiven deutschen Jägern  sehr schwer getroffen. Eine ganze Squadron wurde dabei abgeschossen. Dieses Flugzeug war eines davon. Die Maschine flog zunächst noch, war jedoch durchlöchert und hatte einen Triebwerksausfa"
2620,15th USAAF,B-17G,42-31859,-,2,49,Verbruggen,24.02.1944,Jäger,13:15,Steyr,"47°29'N, 14°28'E",Trieben,Wels,Wels,Österreich,Oberösterreich,,Der Verband wurde von ungewöhnlich aggressiven deutschen Jägern  sehr schwer getroffen. Eine ganze Squadron wurde dabei abgeschossen. Dieses Flugzeug war eines davon.
2621,15th USAAF,B-17G,42-37970,-,2,20,Foust,24.02.1944,Jäger,13:15,Steyr,"47°29'N, 14°28'E",Trieben,Pfarrkirchen,Pfarrkirchen,Österreich,Oberösterreich,,"Die Maschine wurde von Jägern angegriffen und dabei das 2. Triebwerk sowie das Ruder schwer beschädigt. Der Pilot ließ die Bomben werfen, bevor er aus dem Verband absackte. Alleine stürzten sich zahlreiche Jäger auf die Maschine. Diese ging letztlich in F"
2622,15th USAAF,B-17G,42-31459,-,2,96,Lyons,24.02.1944,Flak und Jäger,13:00,Steyr,"47°29'N, 14°28'E",Trieben,Steyr,Saass,Österreich,Oberösterreich,Vermisste/r,Die Maschine wurde von einer Flak-Batterie bei Christkindl (4/342) und einer Schweren Flak-Batterie bei Gleink (3/342) schwer getroffen und brach in der Luft auseinander. Gemäß den Beobachtungen anderer Bombercrews sollen sich am Abschuss auch mehrere deu
2634,15th USAAF,B-17G,42-31671,-,301,353,LaForge,24.02.1944,Jäger,13:00,Steyr,"48°02'N, 14°26'E",Gramatneusiedl,Wels,Steinerkirchen bei Wels,Österreich,Oberösterreich,,"Die Maschine wurde von Jägern angegriffen und in Brand geschossen. Das Flugzeug blieb dennoch stabil in der Formation, als die ersten Besatzungsmitglieder absprangen. Erst danach ging das Flugzeug auf Tiefe."
2635,15th USAAF,B-17G,42-31437,-,301,352,Abramson,24.02.1944,Jäger,,Steyr,,Steyr nördlich,Enns,Enns,Österreich,Oberösterreich,,"Maschine wurde von Jägern angegriffen und fiel mit einem brennenden Triebwerk hinter die Formation zurück. Der Pilot steuerte einmal quer unter der Formation durch, warf seine Bomben und gab dann den Befehl ""Bail out"". Die gesamte Besatzung überlebte."
2686,15th USAAF,B-17G,42-31640,-,2,96,McCord,24.02.1944,Jäger,13:15,Steyr,"47°29'N, 14°28'E",Trieben,Vöcklabruck,Wegscheid,Österreich,Oberösterreich,,Der Verband wurde von ungewöhnlich aggressiven deutschen Jägern  sehr schwer getroffen. Eine ganze Squadron wurde dabei abgeschossen. Dieses Flugzeug war eines davon. Maschine wurde von Jägern angegriffen und die rechte Tragfläche in Brand geschossen. Der
2702,15th USAAF,B-17F,42-29639,-,2,96,Byrne,24.02.1944,Jäger,13:15,Steyr,"47°29'N, 14°28'E",Trieben,Steyr,Kaisergut - Sierning,Österreich,Oberösterreich,,"Der Verband wurde von ungewöhnlich aggressiven deutschen Jägern  sehr schwer getroffen. Eine ganze Squadron wurde dabei abgeschossen. Dieses Flugzeug war eines davon. Die Maschine wurde von Jägern in Brand geschossen (Triebwerke) und stürzte ab, nachdem s"
2579,15th USAAF,B-17G,42-31666,,2,96,Thalken,24.02.1944,Jäger,,Steyr,"47°29'N, 14°28'E",Trieben,Passau,Weignersbach bei Haibach,Österreich,Oberösterreich,,"Die Maschine wurde von Jägern attackiert, die den Bereich des Cockpits und des 3. Triebwerks in Brand schossen. Die Maschine stürzte ab."
2618,15th USAAF,B-17F,42-29638,-,2,49,Glass,24.02.1944,Jäger,13:15,Steyr,"47°29'N, 14°28'E",Trieben,Salzburg,Faistenau,Österreich,Salzburg,,Der Verband wurde von ungewöhnlich aggressiven deutschen Jägern  sehr schwer getroffen. Eine ganze Squadron wurde dabei abgeschossen. Dieses Flugzeug war eines davon. Es wurde von Raketen-tragenden Ju88 und FW190 angegriffen und schwer getroffen. Die Masc
2632,15th USAAF,B-17G,42-31419,-,2,49,Vandy,24.02.1944,Jäger,13:15,Steyr,"47°29'N, 14°28'E",Trieben,Fuschl am See,Fuschl am See,Österreich,Salzburg,,"Der Verband wurde von ungewöhnlich aggressiven deutschen Jägern  sehr schwer getroffen. Eine ganze Squadron wurde dabei abgeschossen. Dieses Flugzeug war eines davon. Die Maschine wurde von Geschossen so schwer getroffen, dass sie in Brand geriet und spir"
2710,15th USAAF,B-17G,42-31873,-,2,49,Pausha,24.02.1944,Jäger,12:40,Steyr,"47°29'N, 14°28'E",Trieben,Flachau,Flachau-Forstau,Österreich,Salzburg,,Der Verband wurde von ungewöhnlich aggressiven deutschen Jägern  sehr schwer getroffen. Eine ganze Squadron wurde dabei abgeschossen. Dieses Flugzeug war eines davon.
2566,15th USAAF,P-38,42-67087,-,1st Fighter,71st Fighter,McKenzie,24.02.1944,technischer Fehler,,Steyr,"47°45'N, 14°45'E",Palfau,Hieflau,Hieflau,Österreich,Steiermark,,"Über Hieflau fing ein Triebwerk der Maschine Feuer, nach einem Dogfight mit einem Jäger. Der Pilot meldete über Funk, dass er aussteigen werde."
2709,15th USAAF,B-17G,42-31425,-,2,20,Smith,24.02.1944,Jäger,,Steyr,"46°33'N, 14°30E",Klagenfurt,Admont,Admont,Österreich,Steiermark,Vermisste/r,Die Maschine wurde nach dem Bombenabwurf von Jäger schwer getroffen. Der Pilot konnte das Flugzeug dennoch 20min stabil halten und so der Besatzung den Ausstieg ermöglich. Die Maschine explodierte beim Aufschlag auf einen Berghang in Kärnten.
2594,15th USAAF,B-17G,42-38076,,301,32,Berner,25.02.1944,Jäger,12:15,Regensburg,"47°45'N, 13°10'E",Salzburg,Metnitz,Metnitz-Pechmannkogel,Österreich,Kärnten,,"Das Flugzeug wurde von Jägern angegriffen. Dabei wurde die Elektrik schwer beschädigt, sodass die Bordkommunikation nicht mehr funktionierte. Die Maschine war nicht mehr zu halten. Nur 3 Besatzungsmitglieder überlebten den folgenden Absturz."
3155,15th USAAF,B-24H,42-52242,,454,736,Whitney,25.02.1944,Jäger,,Graz,"46°45'N, 15°37'E",Leibnitz,Horn,Sieghartsreith,Österreich,Niederösterreich,,Die Maschine wurde von Me210 mit Raketen angegriffen und schwer getroffen. Sie explodierte in der Luft.
3211,15th USAAF,B-24H,42-52300,,454,739,Breidenstein,25.02.1944,Jäger,,Graz-Thalerhof,,Bruck/Mur,Weyer,Hollenstein an der Ybbs,Österreich,Niederösterreich,Vermisste/r,Die Maschine wurde von Flakgeschossen getroffen und fiel hinter die Formation zurück. Dort wurde sie von Jägern attackiert und in Brand geschossen. Die Maschine kippte auf die Seite und ging in den Sturzflug über. Sie explodierte kurz darauf.
2576,15th USAAF,B-17,42-31416,,2,,Withers,25.02.1944,Jäger,,Steyr,,,Moosdorf,Lamprechtshausen,Österreich,Oberösterreich,,Mehrere deutsche Jäger griffen das Flugzeug an und trafen das Cockpit direkt. Die Maschine sackte über die Flugzeugnase und stürzte ab. Eine Tragfläche fing Feuer. Die Maschine explodierte kurz darauf in der Luft.
2627,15th USAAF,B-24H,42-52266,,454,736,Mattox,25.02.1944,Jäger,,Graz,"46°45'N, 15°37'E",Leibnitz,Freistadt,Mitterbach bei Freistadt,Österreich,Oberösterreich,,"Die Maschine wurde im Verband von mehreren Me210 angegriffen, die mehrere Flugzeuge leicht trafen. Die Flugzeuge sackten aus der Formation ab und wurden ein zweites mal angegriffen. Diesmal wurde ein Triebwerk der Maschine in Brand geschossen (Rauchentwic"
2704,15th USAAF,B-17G,42-31642,,99,347,Laino,25.02.1944,Jäger,,Regensburg,,Niedertauern,Burghausen,Wenig-Überackern,Österreich,Oberösterreich,,"Die Maschine wurde über Salzburg von deutschen Jägern attackiert und fiel aus der Formation zurück. Sie beschrieb eine 360-Wende, während der die Besatzung absprang. Kurz darauf explodierte die Maschine in der Luft."
2595,15th USAAF,B-17F,42-30329,,301,352,van Nortwick,25.02.1944,Jäger,,Regensburg,,nördlich Klagenfurt,Saalfelden,Saalfelden,Österreich,Salzburg,,"Die Maschine wurde von Jägern attackiert, die das 1. und 4. Triebwerk in Brand schossen. Die Maschine sackte aus der Formation ab. Die gesamte Besatzung sprang ab."
2597,15th USAAF,B-17F,42-30310,,301,419,Koch,25.02.1944,Jäger,,Regensburg,"47°45'N, 13°10'E",Salzburg,Tamsweg,Lessach,Österreich,Salzburg,,"Die Maschine wurde von Jägern schwer getroffen - über einen Zeitraum von 12min. Das gesamte Heck stand in Flammen, als die Maschine abkippte und zu Boden stürzte."
3693,15th USAAF,B-24,42-52168,The Citadel,451,725,Zender,25.02.1944,Jäger,,Regensburg,,,Zederhaus,Zederhaus,Österreich,Salzburg,Vermisste/r,"Die Maschine wurde von mehreren Jägern attackiert. Das 3. Triebwerk wurde in Brand geschossen und die Maschine stürzte ab.

Dienstnummern der einzelnen Flieger wurden über Archives.gov eingetragen (RG 389)"
2590,15th USAAF,B-24H,42-52210,-,455,740,Cleland,25.02.1944,Jäger,,Graz,"46°50'N, 15°55'E",Bad Gleichenberg,Deutschlandsberg,Trahütten,Österreich,Steiermark,,"Die Maschine hatte einen Triebwerkfehler, fiel hinter die Formation zurück und wurde dann vermutlich von Jägern abgeschossen. Kein Überlebender."
2591,15th USAAF,B-17F,42-30428,,301,32,Epps,25.02.1944,Jäger,,Regensburg,"47°45'N, 13°10'E",St. Johann/Pongau,Knittelfeld,Krakaudorf - Dorferalm,Österreich,Steiermark,,"Die Maschine wurde von Jägern attackiert und sackte aus der Formation mit 2 brennenden Triebwerken ab. Noch im Horizontalflug stieg die Besatzung aus. Das Flugzeug explodierte kurz darauf in der Luft.
Die gesamte Besatzung konnte das Flugzeug nördlich vo"
2592,15th USAAF,B-17G,42-39982,,301,32,Walker,25.02.1944,Jäger,,Regensburg,"47°45'N, 13°10'E",Salzburg,Fresen-Seetal,Fresen-Seetal,Österreich,Steiermark,Vermisste/r,Die Maschine wurde von Jägern attackiert und sackte hinter die Formation zurück. Ein Triebwerk brannte. Der Pilot ließ die Bombentore öffnen und die Bomben in einem Notwurf abwerfen. Er ließ sodann das Fahrwerk ausfahren - was die Jäger sofort dazu veranl
2721,15th USAAF,B-17G,42-31703,,301,353,Rose,25.02.1944,Jäger,,Regensburg,"46°35'N, 14°20'E",Klagenfurt,Ramsau,Dachsteinmassiv,Österreich,Steiermark,,Die Maschine wurde von Jägen attackiert und in Flammen geschossen. Die Maschine blieb vorerst in der Formation und überquerte die Alpen. Dort warteten rund 50 deutsche Jäger mit Zusatztanks. Ihre Angriffe brachten das Flugzeug zum Absturz.
3160,15th USAAF,B-24H,41-28699,Who Nose,454,739,Gebel,25.02.1944,Flak,,Graz-Thalerhof,,Graz,Leibnitz,Perbersdorf bei St. Veit am Vogau,Österreich,Steiermark,,Die Maschine wurden von Flakgeschossen getroffen und stürzte ab.
3298,15th USAAF,B-24H,41-29237,Tamerlane II,459,757,Wood,17.03.1944,technischer Fehler,,Bad Vöslau,,Wr. Neustadt,unbekannt,,Österreich,Österreich,Vermisste/r,"Die Maschine dürfte technische Schwierigkeiten gehabt haben, da sie hinter die Formation zurückfiel. Die gesamte Besatzung gilt als vermisst."
3255,15th USAAF,B-24H,42-52406,,459,756,Baldridge,17.03.1944,Kollision,,Wien,"48°10'N, 15°20'E",Melk,Wien,Kaiserebersdorf,Österreich,Wien,,"Das Flugzeug wurde von Flak-Geschossen getroffen und geriet dabei aus der Flugbahn. Ein zweiter Bomber (42-52319) raste dabei in das Heck des strauchelnden Flugzeugs, das in der Luft gänzlich zerfiel. Die Trümmer stürzten zu Boden."
3360,15th USAAF,B-24H,42-52319,,459,756,Allen,17.03.1944,Flak,,Wien,"48°10'N, 16°20'E",Wien,Wien Zentralfriedhof,Wien Zentralfriedhof,Österreich,Wien,,"Die Maschine wurde von Flak-Geschossen so schwer getroffen, dass sie sofort in den Sturzflug überging - und dabei einzelne Flugzeugteile abbrachen. Kein Besatzungsmitglied konnte sich retten."
3256,15th USAAF,B-24H,42-52330,Paper Doll,456,745,Feld,19.03.1944,Flak,,Steyr,,Klagenfurt,Ferlach,Kirchentheuer,Österreich,Kärnten,,"Die Maschine wurde von Flak-Geschossen getroffen und begann zu schlingern. Das Flugzeug ging langsam auf Tiefe mit schweren Bränden im Inneren. Flammen schlugen aus dem oberen Turm, bevor die Maschine explodierte. Nur ein Teil der Besatzung konnte sich re"
3258,15th USAAF,B-17G,42-38100,,2,96,Southern,19.03.1944,Flak,14:00,Klagenfurt,,Klagenfurt,Velden,St. Jakob im Rosental,Österreich,Kärnten,Vermisste/r,"Die Maschine erhielt Direkttreffer, die das 3. und 4. Triebwerk sowie den Haupttank in Brand setzten. Das Flugzeug vollzog eine 360°-Kurve bevor sie vom Piloten kurz unter Kontrolle gehalten werden konnte. Das ermöglichte 9 Besatzungsmitgliedern das Flugz"
3260,15th USAAF,B-24H,42-52613,,450,723,McGregor,19.03.1944,Jäger,,Steyr,"47°00'N, 14°30'E",Mühlen am Zirbitz,Gleisdorf,"Burgstall, St. Margarethen/Raab",Österreich,Steiermark,,Die Maschine wurde von Jägern attackiert und fiel rauchend hinter die Formation zurück und stürzte zu Boden.
3887,15th USAAF,B-17G,42-32013,-,99,347,Koehne,02.04.1944,Jäger,11:00,Steyr,Koehne,Steyr,Sankt Paul im Lavanttal,Sankt Paul im Lavanttal,Österreich,Kärnten,,"Die Maschine wurde von Jägern (2 Me-110) angegriffen und das 2. Triebwerk in Brand geschossen. Das Flugzeug sackte aus der Formation ab, blieb aber vorerst stabil, sodass die Besatzung aussteigen konnte. Das Flugzeug stürzte schließlich auf einen Berghang"
3471,15th USAAF,B-24H,42-52271,,455,743,Brunson,02.04.1944,Jäger,,Steyr,"47°15'N, 15°05'E",Übelbach,Wolfsberg,Preitenegg,Österreich,Kärnten,,Die Maschine wurde von Jägern schwer getroffen und geriet in Brand. Ein Teil der Besatzung konnte sich retten bevor die Maschine in der Luft explodierte und zu Boden fiel.
3995,15th USAAF,B-24H,42-52136,-,449,717,Starr,02.04.1944,Kollision,,Steyr,"48°02'N, 14°23'E",Steyr östlich,Rohrau-Aschbach,Rohrau-Aschbach,Österreich,Niederösterreich,,"Ein Flugzeug vor Lt. Starrs Maschine verlor ein wenig an Höhe (vmtl. wegen Raketentreffer). Als es wieder nach oben drückte, kollidierte dessen Flugzeugnase mit dem Heck von Starrs Maschine. Beide keilten sich ineinander und die Tragflächen rissen ab. Kei"
3888,15th USAAF,B-17G,42-32056,-,99,415,Klansnic,02.04.1944,Jäger,13:00,Steyr,"47°52'N, 14°45'E",Gaflenz,Sankt Florian,Hausleiten,Österreich,Oberösterreich,,"Die Maschine wurde von einem Jäger von hinten angegriffen. Das 1. Triebwerk wurde getroffen und begann zu brennen. Das Flugzeug verlor ein wenig an Höhe und geriet in den ""Slip-stream"", durch den der Pilot die Kontrolle momentan verlor. Etwas tiefer konnt"
4024,15th USAAF,B-24H,41-29216,-,449,717,Kury,02.04.1944,Kollision,,Steyr,"48°02'N, 14°23'E",Steyr,Windischgarsten,Windischgarsten,Österreich,Oberösterreich,,"Die Maschine wurde von Trümmern getroffen, die von der Kollission der Maschine MACR 3995 stammten. Das Triebwerk begann zu brennen und die Maschine ging in die Tiefe. Es wurden Fallschirme gesehen - jedoch niemand überlebte!"
4025,15th USAAF,B-24H,42-52086,-,449,717,Fetting,02.04.1944,Kollision,,Steyr,"48°02'N, 14°23'E",Steyr,Windischgarsten,Imitzberg,Österreich,Oberösterreich,,"Das Flugzeug dürfte von einer Rakete getroffen worden sein und sackt kurz ab. Als der Pilot wieder nach oben fliegen wollte kollidierte er mit der Flugzeugvorderseite mit der Maschine von Lt Starr. Die Maschinen keilten sich ineinander fest, die Flugzeugn"
3889,15th USAAF,B-24J,42-64374,,459,759,Follender,02.04.1944,Jäger,13:00,Steyr,"48°00'N, 14°07'E",Kremsmünster,Windischgarsten,Windischgarsten,Österreich,Oberösterreich,,Die Maschine wurde von 2 ME109 attackiert und stürzte ab.
4197,15th USAAF,B-17F,42-3144,,301,32,Miller,02.04.1944,Jäger,,Steyr,"48°00'N, 14°35'E",Steyr,Weyer,Kleinreifling,Österreich,Oberösterreich,,Die Maschine fiel schon über der Adria hinter die Formation zurück. Über feindlichem Gebiet konzentrierten sich dann die deutschen Jäger auf dieses Flugzeug. Es ging nahezu sofort in einen steilen Sturzflug über. Offensichtlich versuchte die Besatzung das
3583,15th USAAF,B-17,42-30429,,97,,Braum,02.04.1944,Jäger,13:00,,,,Molln,Molln,Österreich,Oberösterreich,,"Von Jägern abgeschossen. Die Besatzung konnte sich aus der Maschine retten, jedoch war der Pilot durch einen Granatsplitter, der sein Bein durchschossen hatte, schwer verletzt. Die Deutschen organisierten einen Schlitten und legten den Piloten darauf. Die"
3586,15th USAAF,B-17,42-30343,,97,342,King,02.04.1944,Unbekannt,,,,,Waidhofen an der Ybbs,Hintstein - Maria Neustift,Österreich,Oberösterreich,,Keine Angaben.
3707,15th USAAF,B-17G,42-31639,,301,419,Zuidema,02.04.1944,Jäger,,Steyr,"47°50'N, 14°20'E",Molln,Großraming,Großraming,Österreich,Oberösterreich,Vermisste/r,"Die Maschine wurde von Raketen von deutschen Jägern in eine Tragfläche getroffen. Die Maschine drehte sich auf den Rücken und ein Teil der Besatzung konnte aussteigen, bevor die Maschine zu Boden stürzte."
